RAMBAKUTEMWA,Secondary
RAMBAMAI PRIMARY,Primary
RAMBANAPASI,Secondary
RAMBANAPASI,Primary
RAMOFU,Primary
RAN MINE,Primary
RANGA,Primary
RANGA PRIMARY,Primary
RANGE,Primary
RANGEMORE,Primary
RANGEMORE,Primary
RARANGWE ,Primary
RATA PRIMARY,Primary
RATANYANA,Primary
RATANYANA,Secondary
RATELSHOEK,Secondary
RATELSHOEK,Primary
RATIDZO,Primary
RATIDZO KUBATANA,Primary
RATIDZO ZIMCARE,Primary
RATIDZO ZVIDOZVEVANHU,Primary
RAUDZI,Primary
RAYMONDALE,Primary
RAZI (MAKOVERE SOUTH),Secondary
REBAI,Primary
RED LICHEN,Primary
REDBANK ,Primary
REDBANK SECONDARY,Secondary
REDCLIFF,Primary
REGINA COELI,Secondary
REGINA COELI,Primary
REGINA MUNDI,Secondary
REGINA MUNDI ,Primary
REGINA MUNDI SEC,Secondary
REMITI,Primary
RENCO MINE PRIMARY,Primary
RENGWE,Primary
RENGWE,Secondary
RENGWE,Primary
RENGWE,Secondary
RENJE,Primary
RENZVA,Primary
RESTHAVEN,Primary
RHINO,Primary
RHINOZIBANGWE,Secondary
RHODES ESTATE PREPARATION,Primary
RICHMOND,Primary
RICHMOND,Secondary
RIDZIWI SEC,Secondary
RIMAI,Primary
RIMBI,Primary
RIMBI,Secondary
RIMUKA 1 HIGH,Secondary
RIMUKA 2 HIGH,Secondary
RIMUKA 3 HIGH,Secondary
RINESHANGA,Primary
RINETTE,Primary
RINGA,Secondary
RINGA,Primary
RINGANAYI,Primary
RINGARI,Primary
RIO  TINTO ZHOMBE,Secondary
RIO TINTO,Secondary
RIVER BLOCK,Primary
RIVER RANCH,Primary
RIVER VALLEY,Primary
RIVERDALE,Primary
RIVERLEA,Primary
RIVERS,Primary
RIVERSDALE,Primary
RIVERSIDALE,Secondary
RIVERSIDE,Primary
RIVERSIDE,Secondary
RIVERSIDE,Primary
RIVERSIDE,Primary
RIVERSIDE STIMULATION CEN,Primary
RIVERTON ACADEMY,Secondary
RIVERTON ACADEMY,Primary
ROBERT SINYOKA,Primary
ROBERT TREDGOLD,Primary
ROCKBAR,Primary
ROCKFORD,Primary
ROGATE,Primary
ROMOREHOTO,Primary
ROMOREHOTO,Secondary
RONDOR,Primary
RONGA,Primary
RONGA RONGA,Primary
RONGWE ,Secondary
ROOSEVELT,Secondary
ROSCOMMON,Primary
ROSETTA RUST,Primary
